Time,OFFICE.0.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Load [W],OFFICE.0.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Sens Cool Load [W],OFFICE.0.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Mass Flow [kg/s],OFFICE.0.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Cool Mass Flow [kg/s],OFFICE.1.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Load [W],OFFICE.1.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Sens Cool Load [W],OFFICE.1.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Mass Flow [kg/s],OFFICE.1.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Cool Mass Flow [kg/s],OFFICE.2.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Load [W],OFFICE.2.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Sens Cool Load [W],OFFICE.2.0:WINTER INCLUDING EXTREME WINTER DAYS:Des Heat Mass Flow [kg/s],OFFICE.2.0:SUMMER INCLUDING EXTREME SUMMER DAYS:Des Cool Mass Flow [kg/s]
00:10:00,1.896887E+03,0.000000E+00,5.314470E-02,0.000000E+00,9.631509E+02,0.000000E+00,2.698538E-02,0.000000E+00,2.464140E+03,0.000000E+00,6.903605E-02,0.000000E+00
00:20:00,1.701307E+03,0.000000E+00,4.766534E-02,0.000000E+00,8.236476E+02,0.000000E+00,2.307679E-02,0.000000E+00,2.330570E+03,0.000000E+00,6.529413E-02,0.000000E+00
00:30:00,1.481397E+03,0.000000E+00,4.150434E-02,0.000000E+00,6.584073E+02,0.000000E+00,1.844712E-02,0.000000E+00,2.169908E+03,0.000000E+00,6.079323E-02,0.000000E+00
00:40:00,1.237389E+03,0.000000E+00,3.466821E-02,0.000000E+00,4.714028E+02,0.000000E+00,1.320766E-02,0.000000E+00,1.982471E+03,0.000000E+00,5.554227E-02,0.000000E+00
00:50:00,9.695286E+02,0.000000E+00,2.716382E-02,0.000000E+00,2.711631E+02,0.000000E+00,7.597410E-03,0.000000E+00,1.768549E+03,0.000000E+00,4.954933E-02,0.000000E+00
01:00:00,6.780872E+02,0.000000E+00,1.899877E-02,0.000000E+00,5.799936E+01,0.000000E+00,1.625076E-03,0.000000E+00,1.528423E+03,0.000000E+00,4.282229E-02,0.000000E+00
01:10:00,6.094387E+02,0.000000E+00,1.707543E-02,0.000000E+00,2.811589E+01,0.000000E+00,7.877771E-04,0.000000E+00,1.466513E+03,0.000000E+00,4.108786E-02,0.000000E+00
01:20:00,5.628446E+02,0.000000E+00,1.577000E-02,0.000000E+00,8.189708E+00,0.000000E+00,2.294673E-04,0.000000E+00,1.427556E+03,0.000000E+00,3.999652E-02,0.000000E+00
01:30:00,5.379696E+02,0.000000E+00,1.507308E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.411084E+03,0.000000E+00,3.953507E-02,0.000000E+00
01:40:00,5.347216E+02,0.000000E+00,1.498209E-02,0.000000E+00,1.296462E+01,0.000000E+00,3.633530E-04,0.000000E+00,1.417037E+03,0.000000E+00,3.970191E-02,0.000000E+00
